titulo,autor,año,puntuación,categoría,idioma,análisis,tags,referencia
"El Gran Gatsby","F. Scott Fitzgerald","1925","6","Ambiguo","es","Fitzgerald era católico. La novela critica el sueño americano y la vacuidad del materialismo, valores compatibles con la crítica católica al consumismo. Sin conflictos doctrinales directos.","Materialismo|Vanidad|Crítica social","Doctrina Social de la Iglesia"
"The Great Gatsby","F. Scott Fitzgerald","1925","6","Ambiguous","en","Fitzgerald was Catholic. The novel critiques the American dream and the emptiness of materialism — values compatible with the Catholic critique of consumerism. No direct doctrinal conflicts.","Materialism|Vanity|Social critique","Catholic Social Teaching"
"Cien Años de Soledad","Gabriel García Márquez","1967","5","Ambiguo","es","Obra cumbre del realismo mágico latinoamericano. García Márquez era agnóstico. La novela mezcla elementos religiosos con magia sin distinguirlos. Lectura neutral, sin ataque directo a la fe.","Realismo mágico|Religión popular|Latinoamérica","Análisis literario general"
"One Hundred Years of Solitude","Gabriel García Márquez","1967","5","Ambiguous","en","Masterpiece of Latin American magical realism. García Márquez was agnostic. The novel mixes religious elements with magic without distinguishing them. Neutral reading, no direct attack on faith.","Magical realism|Folk religion|Latin America","General literary analysis"
"El Médico","Noah Gordon","1986","5","Novela histórica","es","Novela histórica sobre un médico inglés en la Persia medieval. Retrata con respeto las tres grandes religiones monoteístas. Sin ataques directos a la fe católica.","Historia|Medicina medieval|Religiones","Análisis literario general"
"The Physician","Noah Gordon","1986","5","Historical novel","en","Historical novel about an English physician in medieval Persia. Portrays the three great monotheistic religions with respect. No direct attacks on Catholic faith.","History|Medieval medicine|Religions","General literary analysis"
"El Monje que Vendió su Ferrari","Robin Sharma","1997","2","New Age","es","Mezcla de budismo, hinduismo y autoayuda occidental. El camino espiritual propuesto prescinde de Dios y de la redención. Incompatible con la espiritualidad cristiana.","New Age|Budismo|Autoayuda","Contrario a Dominus Iesus"
"The Monk Who Sold His Ferrari","Robin Sharma","1997","2","New Age","en","Mix of Buddhism, Hinduism and Western self-help. The proposed spiritual path dispenses with God and redemption. Incompatible with Christian spirituality.","New Age|Buddhism|Self-help","Contrary to Dominus Iesus"
"Mujercitas","Louisa May Alcott","1868","8","Ambiguo","es","Novela de formación con sólidos valores cristianos protestantes: sacrificio, amor familiar, humildad y servicio. Plenamente compatible con la ética cristiana católica.","Familia|Virtud|Formación","Compatible con ética cristiana"
"Little Women","Louisa May Alcott","1868","8","Ambiguous","en","Coming-of-age novel with solid Protestant Christian values: sacrifice, family love, humility and service. Fully compatible with Catholic Christian ethics.","Family|Virtue|Formation","Compatible with Christian ethics"
"El Diario de Ana Frank","Anne Frank","1947","7","Ambiguo","es","Testimonio del Holocausto que defiende la dignidad humana y la esperanza en medio del horror. Compatible con la doctrina social católica. Sin conflictos doctrinales.","Dignidad|Esperanza|Holocausto","Doctrina Social de la Iglesia"
"The Diary of a Young Girl","Anne Frank","1947","7","Ambiguous","en","Holocaust testimony defending human dignity and hope in the face of horror. Compatible with Catholic social teaching. No doctrinal conflicts.","Dignity|Hope|Holocaust","Catholic Social Teaching"
"Dune","Frank Herbert","1965","4","Ambiguo","es","Ciencia ficción que explora religión, poder y ecología. Herbert construye un universo con elementos de múltiples tradiciones religiosas. Lectura neutral aunque la religión se presenta de forma funcional, no trascendente.","Ciencia ficción|Religión|Poder","Análisis literario general"
"Dune","Frank Herbert","1965","4","Ambiguous","en","Science fiction exploring religion, power and ecology. Herbert builds a universe with elements from multiple religious traditions. Neutral reading though religion is presented functionally, not transcendently.","Science fiction|Religion|Power","General literary analysis"
"Don Quijote de la Mancha","Miguel de Cervantes","1605","8","Literatura universal","es","Cervantes era católico practicante y la obra refleja la cosmovisión cristiana de la España del Siglo de Oro. La fe, la caballería y la virtud son ejes centrales. Sin conflictos doctrinales.","Virtud|Fe|Literatura española","Tradición literaria católica española"
"Don Quixote","Miguel de Cervantes","1605","8","Universal literature","en","Cervantes was a practising Catholic and the work reflects the Christian worldview of Golden Age Spain. Faith, chivalry and virtue are central themes. No doctrinal conflicts.","Virtue|Faith|Spanish literature","Spanish Catholic literary tradition"
"Los Miserables","Victor Hugo","1862","8","Literatura universal","es","Profunda meditación sobre la redención, la misericordia y la justicia. El personaje del obispo Myriel encarna la caridad cristiana. Hugo era deísta pero los valores de la novela son compatibles con la doctrina católica.","Redención|Misericordia|Justicia","Compatible con doctrina social católica"
"Les Misérables","Victor Hugo","1862","8","Universal literature","en","A profound meditation on redemption, mercy and justice. The character of Bishop Myriel embodies Christian charity. Hugo was a deist but the novel's values are compatible with Catholic doctrine.","Redemption|Mercy|Justice","Compatible with Catholic social doctrine"
"Anna Karenina","León Tolstói","1878","6","Literatura universal","es","Tolstói exploró profundamente la moral cristiana aunque terminó alejándose de la Iglesia Ortodoxa. La novela retrata las consecuencias del adulterio y la búsqueda de sentido. Lectura con matices pero sin ataque directo a la fe.","Moral|Matrimonio|Consecuencias del pecado","Análisis literario católico"
"Anna Karenina","Leo Tolstoy","1878","6","Universal literature","en","Tolstoy explored Christian morality deeply though he eventually distanced himself from the Orthodox Church. The novel portrays the consequences of adultery and the search for meaning.","Morality|Marriage|Consequences of sin","Catholic literary analysis"
"Guerra y Paz","León Tolstói","1869","7","Literatura universal","es","Épica novela histórica con profundas reflexiones sobre la providencia, la muerte y el sentido de la vida. Los personajes buscan a Dios a su manera. Compatible con la reflexión cristiana aunque Tolstói tenía una visión heterodoxa.","Providencia|Muerte|Sentido de la vida","Análisis literario general"
"War and Peace","Leo Tolstoy","1869","7","Universal literature","en","Epic historical novel with deep reflections on providence, death and the meaning of life. Characters seek God in their own way. Compatible with Christian reflection though Tolstoy had a heterodox view.","Providence|Death|Meaning of life","General literary analysis"
"El Proceso","Franz Kafka","1925","4","Literatura universal","es","Alegoría sobre la burocracia y la culpa sin redención. Kafka era agnóstico. La novela retrata un mundo sin gracia ni salvación, visión incompatible con la esperanza cristiana aunque literariamente valiosa.","Culpa|Burocracia|Absurdo","Análisis literario general"
"The Trial","Franz Kafka","1925","4","Universal literature","en","Allegory of bureaucracy and guilt without redemption. Kafka was agnostic. The novel portrays a world without grace or salvation, a vision incompatible with Christian hope though literarily valuable.","Guilt|Bureaucracy|Absurd","General literary analysis"
"Crimen y Castigo","Fiódor Dostoievski","1866","9","Literatura universal","es","Exploración profundamente cristiana del pecado, la culpa, la redención y el poder transformador del sufrimiento y el amor. Dostoievski era ortodoxo devoto. Muy recomendada por pensadores católicos.","Pecado|Redención|Sufrimiento","Tradición literaria cristiana"
"El Idiota","Fiódor Dostoievski","1869","8","Literatura universal","es","El príncipe Myshkin es una figura cristiana por excelencia: bondad pura en un mundo corrupto. Dostoievski explora la santidad y el sufrimiento inocente desde una profunda perspectiva cristiana.","Santidad|Bondad|Sufrimiento inocente","Tradición literaria cristiana"
"The Idiot","Fyodor Dostoevsky","1869","8","Universal literature","en","Prince Myshkin is a quintessentially Christian figure: pure goodness in a corrupt world. Dostoevsky explores holiness and innocent suffering from a deep Christian perspective.","Holiness|Goodness|Innocent suffering","Christian literary tradition"
"Los Hermanos Karamázov","Fiódor Dostoievski","1880","9","Literatura universal","es","Considerada la cumbre de Dostoievski. Debate profundo sobre la existencia de Dios, el sufrimiento, la fe y la redención. El padre Zósima encarna la espiritualidad cristiana ortodoxa. Muy recomendada.","Existencia de Dios|Fe|Redención","Tradición literaria cristiana"
"The Brothers Karamazov","Fyodor Dostoevsky","1880","9","Universal literature","en","Considered Dostoevsky's masterpiece. A profound debate on the existence of God, suffering, faith and redemption. Father Zosima embodies Christian Orthodox spirituality. Highly recommended.","Existence of God|Faith|Redemption","Christian literary tradition"
"Madame Bovary","Gustave Flaubert","1857","3","Literatura universal","es","Retrato del adulterio y la insatisfacción burguesa. Flaubert era agnóstico y la novela critica implícitamente los valores religiosos de provincia. Sin condena directa pero con visión moral incompatible.","Adulterio|Insatisfacción|Moral","Análisis literario católico"
"Madame Bovary","Gustave Flaubert","1857","3","Universal literature","en","Portrait of adultery and bourgeois dissatisfaction. Flaubert was agnostic and the novel implicitly critiques provincial religious values. No direct condemnation but morally incompatible vision.","Adultery|Dissatisfaction|Morality","Catholic literary analysis"
"El Extranjero","Albert Camus","1942","2","Literatura universal","es","Manifiesto del absurdismo: la vida carece de sentido y Dios no existe. El protagonista rechaza explícitamente la consolación religiosa antes de morir. Directamente contrario a la esperanza cristiana.","Absurdismo|Ateísmo|Nihilismo","Contrario a CIC 27, 1817"
"The Stranger","Albert Camus","1942","2","Universal literature","en","Manifesto of absurdism: life is meaningless and God does not exist. The protagonist explicitly rejects religious consolation before dying. Directly contrary to Christian hope.","Absurdism|Atheism|Nihilism","Contrary to CCC 27, 1817"
"El Mito de Sísifo","Albert Camus","1942","2","Literatura universal","es","Ensayo filosófico que desarrolla el absurdismo y rechaza explícitamente la fe religiosa como 'salto filosófico ilegítimo'. Incompatible con la visión cristiana del sentido de la vida.","Absurdismo|Ateísmo|Filosofía","Contrario a CIC 27, 1817"
"En Busca del Tiempo Perdido","Marcel Proust","1913–1927","5","Literatura universal","es","Monumental obra sobre la memoria y el tiempo. Proust era agnóstico pero la novela no ataca la fe directamente. Contiene referencias religiosas y reflexiones sobre la trascendencia. Lectura neutral.","Memoria|Tiempo|Trascendencia","Análisis literario general"
"La República","Platón","380 a.C.","6","Filosofía","es","Obra fundacional de la filosofía occidental. Platón influyó decisivamente en el pensamiento cristiano a través de Agustín y otros Padres. La búsqueda del Bien y la justicia es compatible con la ética cristiana.","Justicia|Bien|Filosofía clásica","Base de la filosofía cristiana"
"The Republic","Plato","380 BC","6","Philosophy","en","Foundational work of Western philosophy. Plato decisively influenced Christian thought through Augustine and other Fathers. The search for the Good and justice is compatible with Christian ethics.","Justice|Good|Classical philosophy","Foundation of Christian philosophy"
"Ética a Nicómaco","Aristóteles","350 a.C.","7","Filosofía","es","Fundamento de la ética tomista. Tomás de Aquino integró la ética aristotélica en la moral católica. La búsqueda de la virtud y el bien humano es compatible y complementaria con la moral cristiana.","Virtud|Ética|Bien humano","Base de la ética tomista, Aeterni Patris"
"Nicomachean Ethics","Aristotle","350 BC","7","Philosophy","en","Foundation of Thomistic ethics. Thomas Aquinas integrated Aristotelian ethics into Catholic morality. The pursuit of virtue and human good is compatible and complementary to Christian morality.","Virtue|Ethics|Human good","Foundation of Thomistic ethics, Aeterni Patris"
"Meditaciones","Marco Aurelio","180 d.C.","6","Filosofía","es","Reflexiones estoicas sobre la virtud, el deber y la providencia. El estoicismo comparte valores con el cristianismo: autodominio, servicio, aceptación del sufrimiento. No es obra cristiana pero es compatible éticamente.","Estoicismo|Virtud|Providencia","Compatible con ética cristiana"
"Meditations","Marcus Aurelius","180 AD","6","Philosophy","en","Stoic reflections on virtue, duty and providence. Stoicism shares values with Christianity: self-mastery, service, acceptance of suffering. Not a Christian work but ethically compatible.","Stoicism|Virtue|Providence","Compatible with Christian ethics"
"Crítica de la Razón Pura","Immanuel Kant","1781","4","Filosofía","es","Kant limita el conocimiento racional de Dios aunque lo postula como necesidad moral. Su crítica a los argumentos tradicionales de la existencia de Dios es problemática para la teología natural católica.","Teología natural|Razón|Conocimiento de Dios","Contrario a CIC 36, Fides et Ratio"
"Critique of Pure Reason","Immanuel Kant","1781","4","Philosophy","en","Kant limits rational knowledge of God though he postulates God as a moral necessity. His critique of traditional arguments for God's existence is problematic for Catholic natural theology.","Natural theology|Reason|Knowledge of God","Contrary to CCC 36, Fides et Ratio"
"El Ser y la Nada","Jean-Paul Sartre","1943","1","Filosofía","es","Existencialismo ateo radical: la existencia precede a la esencia, Dios no existe y el hombre está condenado a ser libre sin referencia trascendente. Directamente contrario a la antropología católica.","Existencialismo|Ateísmo|Libertad sin Dios","Contrario a CIC 27, GS 19"
"Being and Nothingness","Jean-Paul Sartre","1943","1","Philosophy","en","Radical atheist existentialism: existence precedes essence, God does not exist and man is condemned to be free without transcendent reference. Directly contrary to Catholic anthropology.","Existentialism|Atheism|Freedom without God","Contrary to CCC 27, GS 19"
"El Príncipe","Nicolás Maquiavelo","1532","2","Filosofía","es","Separa radicalmente la política de la moral cristiana. El fin justifica los medios, principio explícitamente contrario a la doctrina moral católica. Fue incluido en el Índice de libros prohibidos.","Política|Moral|El fin justifica los medios","Incluido en el Índice de libros prohibidos"
"The Prince","Niccolò Machiavelli","1532","2","Philosophy","en","Radically separates politics from Christian morality. The end justifies the means — a principle explicitly contrary to Catholic moral doctrine. Was placed on the Index of Forbidden Books.","Politics|Morality|End justifies means","Placed on the Index of Forbidden Books"
"Fides et Ratio","Papa Juan Pablo II","1998","10","Filosofía","es","Encíclica sobre la relación entre fe y razón. Defiende que la filosofía y la teología no se oponen sino que se complementan. Referencia fundamental del Magisterio sobre el pensamiento filosófico católico.","Fe|Razón|Filosofía cristiana","Encíclica papal"
"Fides et Ratio","Pope John Paul II","1998","10","Philosophy","en","Encyclical on the relationship between faith and reason. Defends that philosophy and theology do not oppose but complement each other. A fundamental Magisterium reference on Catholic philosophical thought.","Faith|Reason|Christian philosophy","Papal encyclical"
"El Antimanual de Filosofía","Michel Onfray","2001","1","Filosofía","es","Onfray es militantemente ateo y anticristiano. Sus obras atacan sistemáticamente el cristianismo como fuente de represión y oscurantismo. Directamente contrario a la fe católica.","Ateísmo|Anti-cristiano|Materialismo","Contrario a CIC 2089"
"Tratado de la Naturaleza Humana","David Hume","1739","3","Filosofía","es","Empirismo radical que niega la causalidad necesaria y socava los argumentos tradicionales para la existencia de Dios. Hume fue el gran crítico de la teología natural. Problemático para la fe católica.","Empirismo|Escepticismo|Teología natural","Contrario a CIC 36, Fides et Ratio"
"A Treatise of Human Nature","David Hume","1739","3","Philosophy","en","Radical empiricism that denies necessary causality and undermines traditional arguments for God's existence. Hume was the great critic of natural theology. Problematic for Catholic faith.","Empiricism|Scepticism|Natural theology","Contrary to CCC 36, Fides et Ratio"
"El Gen Egoísta","Richard Dawkins","1976","3","Ciencia y fe","es","Obra científica sobre la evolución génica. En sí misma es compatible con la fe aunque Dawkins la usa como base para su materialismo ateo. La teoría evolutiva no es condenada por la Iglesia.","Evolución|Genética|Materialismo","CIC 283, Juan Pablo II (1996)"
"The Selfish Gene","Richard Dawkins","1976","3","Science and faith","en","Scientific work on gene evolution. Compatible with faith in itself though Dawkins uses it as a basis for atheistic materialism. Evolutionary theory is not condemned by the Church.","Evolution|Genetics|Materialism","CCC 283, John Paul II (1996)"
"Breve Historia del Tiempo","Stephen Hawking","1988","5","Ciencia y fe","es","Divulgación científica sobre el origen del universo. Hawking era agnóstico pero la obra no ataca directamente la fe. La famosa frase sobre 'no necesitar a Dios' es filosófica, no científica. Lectura neutral.","Cosmología|Origen del universo|Ciencia","CIC 283, Gaudium et Spes 36"
"A Brief History of Time","Stephen Hawking","1988","5","Science and faith","en","Popular science on the origin of the universe. Hawking was agnostic but the work does not directly attack faith. The famous remark about not needing God is philosophical, not scientific. Neutral reading.","Cosmology|Origin of universe|Science","CCC 283, Gaudium et Spes 36"
"El Lenguaje de Dios","Francis Collins","2006","9","Ciencia y fe","es","El director del Proyecto Genoma Humano defiende que la ciencia y la fe cristiana son completamente compatibles. Testimonio personal de conversión al cristianismo desde el ateísmo. Muy recomendado.","Ciencia y fe|Evolución|Conversión","Plenamente compatible con CIC 283"
"The Language of God","Francis Collins","2006","9","Science and faith","en","The director of the Human Genome Project argues that science and Christian faith are fully compatible. Personal testimony of conversion to Christianity from atheism. Highly recommended.","Science and faith|Evolution|Conversion","Fully compatible with CCC 283"
"Dios y la Nueva Física","Paul Davies","1983","6","Ciencia y fe","es","Davies explora las implicaciones filosóficas y religiosas de la física moderna. No es cristiano pero defiende que la ciencia apunta hacia un diseño inteligente. Lectura compatible con la reflexión teológica.","Física|Diseño inteligente|Cosmología","Compatible con CIC 286"
"God and the New Physics","Paul Davies","1983","6","Science and faith","en","Davies explores the philosophical and religious implications of modern physics. Not Christian but argues that science points toward intelligent design. Compatible with theological reflection.","Physics|Intelligent design|Cosmology","Compatible with CCC 286"
"Ciencia y Religión","John Polkinghorne","1998","9","Ciencia y fe","es","Polkinghorne es físico teórico y sacerdote anglicano. Defiende con rigor académico la compatibilidad entre física cuántica y fe cristiana. Plenamente compatible con la visión católica de la relación fe-razón.","Física cuántica|Fe|Razón","Compatible con Fides et Ratio"
"Science and Religion","John Polkinghorne","1998","9","Science and faith","en","Polkinghorne is a theoretical physicist and Anglican priest. Rigorously defends the compatibility between quantum physics and Christian faith. Fully compatible with the Catholic vision of faith-reason.","Quantum physics|Faith|Reason","Compatible with Fides et Ratio"
"El Diseño de la Existencia","Michael Behe","1996","7","Ciencia y fe","es","Bioquímico católico que defiende el diseño inteligente desde la biología molecular. La Iglesia no ha condenado el diseño inteligente aunque tampoco lo ha adoptado oficialmente. Lectura interesante para católicos.","Diseño inteligente|Biología|Fe","No condenado por el Magisterio"
"Darwin's Black Box","Michael Behe","1996","7","Science and faith","en","Catholic biochemist defending intelligent design from molecular biology. The Church has not condemned intelligent design though it has not officially adopted it either. Interesting reading for Catholics.","Intelligent design|Biology|Faith","Not condemned by the Magisterium"
"La Gran Ilusión","Richard Dawkins","2006","1","Ciencia y fe","es","Ataque sistemático a la religión usando argumentos científicos. Dawkins argumenta que la fe es una ilusión peligrosa y que la ciencia la hace innecesaria. Directamente contrario a la fe católica.","Ateísmo|Anti-religión|Ciencia","Contrario a CIC 31, 36"
"El espejismo de Dios","Richard Dawkins","2006","1","Ciencia y fe","es","Crítica directa a la creencia en Dios desde el naturalismo científico. Presenta la religión como una ilusión perjudicial, en contradicción con la doctrina católica.","Ateísmo|Ciencia|Crítica religión","Contrario a CIC 31, 36"
"Sapiens: De animales a dioses","Yuval Noah Harari","2011","2","Historia y antropología","es","Interpreta la religión como construcción social y evolutiva. Ofrece ideas interesantes pero reduce la dimensión espiritual del ser humano.","Historia|Antropología|Relativismo","Contrario a CIC 355, 366"
"El código Da Vinci","Dan Brown","2003","1","Ficción","es","Novela que presenta teorías conspirativas sobre Jesucristo y la Iglesia sin base histórica. Puede generar confusión sobre verdades centrales de la fe.","Ficción|Iglesia|Conspiración","Contrario a CIC 88, 495"
"Cincuenta sombras de Grey","E. L. James","2011","1","Moral sexual","es","Promueve una visión distorsionada de la sexualidad humana, centrada en el placer y relaciones de dominación. Incompatible con la visión cristiana del amor.","Sexualidad|Erotismo","Contrario a CIC 2337, 2354"
"El poder del ahora","Eckhart Tolle","1997","2","Espiritualidad","es","Propone una espiritualidad centrada en la conciencia y el presente, con elementos cercanos al panteísmo. Puede ser compatible en parte, pero requiere discernimiento.","New Age|Espiritualidad","Advertencia: CIC 2117"
"Dios existe","Antony Flew","2007","5","Filosofía","es","El autor, anteriormente ateo, defiende la existencia de Dios desde argumentos filosóficos. Compatible con la fe natural y útil como apoyo apologético.","Apologética|Filosofía","Compatible con CIC 31"
"Introducción al cristianismo","Joseph Ratzinger","1968","5","Teología","es","Explicación profunda de la fe cristiana desde una perspectiva teológica sólida. Muy recomendable para comprender el Credo.","Teología|Doctrina","Compatible con CIC"
"Confesiones","San Agustín","397","5","Espiritualidad","es","Obra clásica que narra la conversión y búsqueda de Dios. Referente fundamental de la espiritualidad cristiana.","Santos|Conversión","Tradición de la Iglesia"
"El alquimista","Paulo Coelho","1988","2","Ficción espiritual","es","Presenta una espiritualidad difusa basada en el destino y la energía universal. Puede confundir la providencia divina con ideas esotéricas.","Espiritualidad|New Age","Advertencia: CIC 2117"
"Harry Potter y la piedra filosofal","J. K. Rowling","1997","3","Ficción","es","Obra de fantasía con elementos mágicos. Generalmente considerada neutral si se entiende como ficción, aunque requiere acompañamiento en lectores jóvenes.","Fantasía|Magia","Discernimiento prudencial CIC 2117"
"Más allá del bien y del mal","Friedrich Nietzsche","1886","1","Filosofía","es","Crítica radical a la moral cristiana y a la noción de verdad objetiva. Incompatible con la ética católica.","Filosofía|Relativismo","Contrario a CIC 1955"
"La abolición del hombre","C. S. Lewis","1943","5","Filosofía moral","es","Defensa de la ley moral objetiva frente al relativismo. Muy alineado con la antropología cristiana.","Moral|Apologética","Compatible con CIC 1954"
"La asistenta","Freida McFadden","2022","2","Thriller","es","Thriller psicológico centrado en secretos y manipulación. Puede incluir visiones morales ambiguas y oscuras.","Thriller|Psicología","Discernimiento moral"
"Alas de sangre","Rebecca Yarros","2023","2","Fantasía","es","Fantasía romántica con violencia y sexualidad explícita. Puede presentar relaciones desordenadas.","Fantasía|Romance","Advertencia: CIC 2354"
"Alas de ónix","Rebecca Yarros","2025","2","Fantasía","es","Continuación de saga con fuerte carga emocional y romántica. Elementos de magia y erotización.","Fantasía|Romance","Advertencia: CIC 2117, 2354"
"La muy catastrófica visita al zoo","Joël Dicker","2024","4","Infantil","es","Historia accesible con valores familiares y educativos. Compatible en general.","Infantil|Familia","Compatible"
"Invisible","Eloy Moreno","2018","4","Juvenil","es","Reflexión sobre el bullying y la dignidad humana. Compatible con valores cristianos.","Juvenil|Valores","CIC 1930"
"La biblioteca de la medianoche","Matt Haig","2020","3","Ficción","es","Explora vidas alternativas sin referencia a Dios. Puede tender al relativismo existencial.","Filosofía|Existencialismo","Discernimiento CIC 1700"
"La paciente silenciosa","Alex Michaelides","2019","2","Thriller","es","Thriller psicológico con temas de trauma y violencia. Moralidad ambigua.","Thriller","Discernimiento"
"Sapiens","Yuval Noah Harari","2011","2","Ensayo","es","Reduce la religión a construcción cultural. Niega dimensión espiritual trascendente.","Historia|Ateísmo","Contrario a CIC 355"
"Homo Deus","Yuval Noah Harari","2015","1","Ensayo","es","Propone un futuro sin Dios donde el hombre se convierte en divinidad. Contrario a la visión cristiana.","Transhumanismo","Contrario a CIC 285"
"Proyecto Hail Mary","Andy Weir","2021","3","Ciencia ficción","es","Ciencia ficción centrada en la supervivencia humana sin referencia religiosa. Neutral.","Ciencia ficción","Neutral"
"El alquimista","Paulo Coelho","1988","2","Espiritualidad","es","Espiritualidad difusa con elementos de destino y energía universal. Riesgo de confusión doctrinal.","New Age","Advertencia CIC 2117"
"El poder de los hábitos","Charles Duhigg","2012","4","Autoayuda","es","Análisis científico del comportamiento humano. Compatible si se integra con visión moral.","Psicología","Compatible"
"Hábitos atómicos","James Clear","2018","5","Autoayuda","es","Fomenta disciplina y mejora personal. Compatible con la virtud cristiana.","Virtud|Disciplina","CIC 1803"
"Padre rico, padre pobre","Robert Kiyosaki","1997","3","Finanzas","es","Promueve éxito económico. Puede derivar en materialismo si no se equilibra.","Dinero","Advertencia CIC 2424"
"El monje que vendió su Ferrari","Robin Sharma","1997","3","Autoayuda","es","Mezcla espiritualidad oriental con desarrollo personal. Requiere discernimiento.","Espiritualidad","Advertencia CIC 2117"
"Cien años de soledad","Gabriel García Márquez","1967","3","Literatura","es","Gran obra literaria con elementos mágicos. No doctrinal pero valiosa culturalmente.","Realismo mágico","Neutral"
"1984","George Orwell","1949","4","Distopía","es","Crítica al totalitarismo. Compatible con la defensa de la verdad y libertad.","Política","CIC 1730"
"Un mundo feliz","Aldous Huxley","1932","2","Distopía","es","Mundo sin Dios ni familia. Denuncia útil pero con visión antropológica problemática.","Distopía","Discernimiento"
"Orgullo y prejuicio","Jane Austen","1813","5","Clásico","es","Historia sobre amor, virtud y carácter. Altamente compatible.","Clásico","Compatible"
"Los juegos del hambre","Suzanne Collins","2008","3","Juvenil","es","Violencia y crítica social. Puede ser útil con acompañamiento.","Juvenil","Discernimiento"
"Crepúsculo","Stephenie Meyer","2005","2","Romance","es","Relación emocional intensa con elementos problemáticos. Idealización del amor posesivo.","Romance","CIC 2337"
"It","Stephen King","1986","1","Terror","es","Contenido explícito de violencia y sexualidad. No recomendable.","Terror","CIC 2354"
"El señor de los anillos","J.R.R. Tolkien","1954","5","Fantasía","es","Profundamente inspirado en valores cristianos como el sacrificio y el bien.","Fantasía","Compatible"
"Crimen y castigo","Fiódor Dostoyevski","1866","5","Clásico","es","Exploración del pecado, culpa y redención. Muy alineado con la visión cristiana.","Redención","Compatible CIC 1847"
"It Ends With Us","Colleen Hoover","2016","2","Romance","es","Relación marcada por abuso y emociones intensas. Puede normalizar dinámicas afectivas desordenadas.","Romance|Drama","Discernimiento CIC 2337"
"It Starts With Us","Colleen Hoover","2022","2","Romance","es","Continuación centrada en relaciones sentimentales complejas con ambigüedad moral.","Romance","Discernimiento"
"Ugly Love","Colleen Hoover","2014","2","Romance","es","Historia con fuerte carga emocional y sexualidad explícita.","Romance","Advertencia CIC 2354"
"Verity","Colleen Hoover","2018","1","Thriller","es","Contenido oscuro con violencia psicológica y elementos sexuales explícitos.","Thriller","Advertencia CIC 2354"
"Fourth Wing","Rebecca Yarros","2023","2","Fantasía","es","Fantasía romántica con violencia y erotización de las relaciones.","Fantasía|Romance","Advertencia CIC 2354"
"Iron Flame","Rebecca Yarros","2023","2","Fantasía","es","Continuación con relaciones intensas y presencia de magia.","Fantasía","Advertencia CIC 2117"
"A Court of Thorns and Roses","Sarah J. Maas","2015","2","Fantasía","es","Fantasía romántica con contenido sexual explícito y relaciones complejas.","Romantasy","Advertencia CIC 2354"
"A Court of Mist and Fury","Sarah J. Maas","2016","2","Fantasía","es","Relaciones emocionalmente intensas con erotización significativa.","Romantasy","Advertencia CIC 2354"
"Twisted Love","Ana Huang","2021","1","Romance","es","Relaciones obsesivas con fuerte carga sexual.","Romance","Advertencia CIC 2354"
"Twisted Games","Ana Huang","2021","1","Romance","es","Romance centrado en deseo y poder con erotización.","Romance","Advertencia CIC 2354"
"Haunting Adeline","H.D. Carlton","2021","1","Romance oscuro","es","Contenido extremadamente explícito y perturbador en relaciones.","Dark romance","Contrario a CIC 2354"
"The Love Hypothesis","Ali Hazelwood","2021","3","Romance","es","Romance contemporáneo con elementos emocionales y cierta carga sexual.","Romance","Discernimiento"
"Book Lovers","Emily Henry","2022","3","Romance","es","Relación romántica moderna sin referencias espirituales.","Romance","Neutral"
"Happy Place","Emily Henry","2023","3","Romance","es","Explora relaciones humanas complejas con enfoque emocional.","Romance","Discernimiento"
"The Seven Husbands of Evelyn Hugo","Taylor Jenkins Reid","2017","2","Drama","es","Relativismo moral en relaciones afectivas y decisiones personales.","Drama","Discernimiento"
"Daisy Jones & The Six","Taylor Jenkins Reid","2019","2","Drama","es","Ambiente de excesos y relativismo moral en el mundo artístico.","Música","Discernimiento"
"The Midnight Library","Matt Haig","2020","3","Ficción","es","Explora el sentido de la vida sin referencia a Dios ni trascendencia.","Filosofía","Discernimiento CIC 1700"
"The Invisible Life of Addie LaRue","V.E. Schwab","2020","2","Fantasía","es","Narrativa basada en un pacto sobrenatural con implicaciones problemáticas.","Fantasía","Advertencia CIC 2117"
"The Housemaid","Freida McFadden","2022","2","Thriller","es","Thriller psicológico con tensión moral y ambigüedad.","Thriller","Discernimiento"
"The Perfect Marriage","Jeneva Rose","2020","2","Thriller","es","Infidelidad y crimen como eje narrativo.","Thriller","Discernimiento CIC 2380"
"Things We Never Got Over","Lucy Score","2022","2","Romance","es","Romance adulto con presencia de sexualidad explícita.","Romance","Advertencia CIC 2354"
"Reminders of Him","Colleen Hoover","2022","3","Drama","es","Historia de redención con elementos positivos aunque complejos.","Redención","Parcialmente compatible"
"Better Than the Movies","Lynn Painter","2021","4","Juvenil","es","Romance juvenil ligero con valores generalmente positivos.","Juvenil","Compatible"
"The Song of Achilles","Madeline Miller","2011","2","Ficción","es","Reinterpretación mitológica con enfoque en relaciones afectivas.","Mitología","Discernimiento"
"Icebreaker","Hannah Grace","2022","1","Romance","es","Relaciones altamente sexualizadas en contexto juvenil.","Romance","Advertencia CIC 2354"
"Wildfire","Hannah Grace","2024","1","Romance","es","Romance contemporáneo con fuerte carga sexual y emocional.","Romance","Advertencia CIC 2354"
"Daydream","Hannah Grace","2024","2","Romance","es","Relaciones juveniles con enfoque emocional y cierta erotización.","Romance","Discernimiento"
